HCPCS,Description,Category,Modifier,Average Cost
A4216,"Sterile water/saline, 10 ml","Ostomy, Tracheostomy & Urological Items",, $0.49 
A4217,"Sterile water/saline, 500 ml",Supplies ,, $3.27 
A4221,Supp non-insulin inf cath/wk,Supplies ,, $19.71 
A4222,Infusion supplies with pump,Supplies ,, $37.38 
A4224,Supply insulin inf cath/wk,Supplies ,, $19.71 
A4225,Sup/ext insulin inf pump syr,Supplies ,, $2.64 
A4233,Alkalin batt for glucose mon,Inexpensive and Other Routinely Purchased Items ,Purchased New, $0.51 
A4234,J-cell batt for glucose mon,Inexpensive and Other Routinely Purchased Items ,Purchased New, $2.36 
A4235,Lithium batt for glucose mon,Inexpensive and Other Routinely Purchased Items ,Purchased New, $1.00 
A4236,Silvr oxide batt glucose mon,Inexpensive and Other Routinely Purchased Items ,Purchased New, $1.16 
A4253,Blood glucose/reagent strips,Inexpensive and Other Routinely Purchased Items ,Purchased New, $8.32 
A4255,Glucose monitor platforms,Supplies ,, $4.56 
A4256,Calibrator solution/chips,Supplies ,, $3.38 
A4257,Replace lensshield cartridge,Supplies ,, $14.41 
A4258,Lancet device each,Supplies ,, $2.12 
A4259,Lancets per box,Supplies ,, $1.42 
A4265,Paraffin,Supplies ,, $3.84 
A4280,Brst prsths adhsv attchmnt,Prosthetics & Orthotic,, $6.00 
A4310,Insert tray w/o bag/cath,"Ostomy, Tracheostomy & Urological Items",, $8.62 
A4311,Catheter w/o bag 2-way latex,"Ostomy, Tracheostomy & Urological Items",, $15.87 
A4312,Cath w/o bag 2-way silicone,"Ostomy, Tracheostomy & Urological Items",, $19.47 
A4313,Catheter w/bag 3-way,"Ostomy, Tracheostomy & Urological Items",, $20.16 
A4314,Cath w/drainage 2-way latex,"Ostomy, Tracheostomy & Urological Items",, $27.17 
A4315,Cath w/drainage 2-way silcne,"Ostomy, Tracheostomy & Urological Items",, $28.57 
A4316,Cath w/drainage 3-way,"Ostomy, Tracheostomy & Urological Items",, $30.75 
A4320,Irrigation tray,"Ostomy, Tracheostomy & Urological Items",, $5.76 
A4321,Cath therapeutic irrig agent,"Ostomy, Tracheostomy & Urological Items",,  $-   
A4322,Irrigation syringe,"Ostomy, Tracheostomy & Urological Items",, $3.40 
A4326,Male external catheter,"Ostomy, Tracheostomy & Urological Items",, $11.64 
A4327,Fem urinary collect dev cup,"Ostomy, Tracheostomy & Urological Items",, $49.67 
A4328,Fem urinary collect pouch,"Ostomy, Tracheostomy & Urological Items",, $11.43 
A4330,Stool collection pouch,"Ostomy, Tracheostomy & Urological Items",, $7.59 
A4331,Extension drainage tubing,"Ostomy, Tracheostomy & Urological Items",, $3.60 
A4332,Lube sterile packet,"Ostomy, Tracheostomy & Urological Items",, $0.13 
A4333,Urinary cath anchor device,"Ostomy, Tracheostomy & Urological Items",, $2.53 
A4334,Urinary cath leg strap,"Ostomy, Tracheostomy & Urological Items",, $5.46 
A4336,Urethral insert,"Ostomy, Tracheostomy & Urological Items",, $1.62 
A4338,Indwelling catheter latex,"Ostomy, Tracheostomy & Urological Items",, $13.43 
A4340,Indwelling catheter special,"Ostomy, Tracheostomy & Urological Items",, $33.78 
A4344,Cath indw foley 2 way silicn,"Ostomy, Tracheostomy & Urological Items",, $17.49 
A4346,Cath indw foley 3 way,"Ostomy, Tracheostomy & Urological Items",, $20.84 
A4349,Disposable male external cat,"Ostomy, Tracheostomy & Urological Items",, $2.28 
A4351,Straight tip urine catheter,"Ostomy, Tracheostomy & Urological Items",, $1.90 
A4352,Coude tip urinary catheter,"Ostomy, Tracheostomy & Urological Items",, $7.00 
A4353,Intermittent urinary cath,"Ostomy, Tracheostomy & Urological Items",, $7.90 
A4354,Cath insertion tray w/bag,"Ostomy, Tracheostomy & Urological Items",, $13.07 
A4355,Bladder irrigation tubing,"Ostomy, Tracheostomy & Urological Items",, $9.91 
A4356,Ext ureth clmp or compr dvc,"Ostomy, Tracheostomy & Urological Items",, $48.81 
