NDC Description,NDC, NADAC_Per_Unit ,Effective_Date,Pricing_Unit,OTC,Brand/Generic,As of Date,High Cost
12-HR DECONGEST 120 MG CAPLET,113005452, $0.34 ,5/17/17,EA,Y,G,6/7/17,Low
3-DAY VAGINAL CREAM,51672206200, $0.31 ,5/17/17,GM,Y,G,6/7/17,Low
4 WAY 1% NASAL SPRAY,67208601, $0.18 ,5/17/17,ML,Y,B,6/7/17,Low
8 HOUR ER 650 MG CAPLET,46122006278, $0.06 ,5/17/17,EA,Y,G,6/7/17,Low
ABACAVIR 300 MG TABLET,51079020401, $2.13 ,5/31/17,EA,N,G,6/7/17,Low
ABACAVIR-LAMIVUDINE 600-300 MG,69097036202, $20.22 ,5/17/17,EA,N,G,6/7/17,High
ABACAVIR-LAMIVUDINE-ZIDOV TAB,68180028607, $23.45 ,12/21/16,EA,N,G,6/7/17,High
ABILIFY 10 MG TABLET,59148000813, $28.63 ,4/19/17,EA,N,B,6/7/17,High
ABILIFY 15 MG TABLET,59148000935, $28.65 ,5/17/17,EA,N,B,6/7/17,High
ABILIFY 2 MG TABLET,59148000613, $28.61 ,11/23/16,EA,N,B,6/7/17,High
ABILIFY 20 MG TABLET,59148001013, $40.77 ,10/19/16,EA,N,B,6/7/17,High
ABILIFY 30 MG TABLET,59148001113, $40.27 ,2/22/17,EA,N,B,6/7/17,High
ABILIFY 5 MG TABLET,59148000713, $28.44 ,5/17/17,EA,N,B,6/7/17,High
ABILIFY MAINTENA ER 300 MG SYR,59148004580," $1,348.03 ",1/1/17,EA,N,B,6/7/17,High
ABILIFY MAINTENA ER 300 MG VL,59148001871," $1,353.33 ",1/1/17,EA,N,B,6/7/17,High
ABILIFY MAINTENA ER 400 MG SYR,59148007280," $1,806.74 ",2/22/17,EA,N,B,6/7/17,High
ABILIFY MAINTENA ER 400 MG VL,59148001971," $1,799.41 ",2/22/17,EA,N,B,6/7/17,High
ABREVA 10% CREAM,135020003, $7.87 ,4/19/17,GM,Y,B,6/7/17,High
ABSORICA 20 MG CAPSULE,10631011631, $30.48 ,1/1/17,EA,N,B,6/7/17,High
ABSORICA 30 MG CAPSULE,10631011731, $32.16 ,1/1/17,EA,N,B,6/7/17,High
ABSORICA 40 MG CAPSULE,10631011831, $32.38 ,1/1/17,EA,N,B,6/7/17,High
ACAMPROSATE CALC DR 333 MG TAB,68462043518, $0.86 ,5/17/17,EA,N,G,6/7/17,Low
ACANYA GEL PUMP,13548013250, $9.32 ,3/22/17,GM,N,B,6/7/17,High
ACARBOSE 100 MG TABLET,69543012210, $0.25 ,5/17/17,EA,N,G,6/7/17,Low
ACARBOSE 25 MG TABLET,16252052301, $0.20 ,5/17/17,EA,N,G,6/7/17,Low
ACARBOSE 50 MG TABLET,54014120, $0.23 ,5/17/17,EA,N,G,6/7/17,Low
ACCUPRIL 10 MG TABLET,71053040, $4.29 ,6/1/17,EA,N,B,6/7/17,Low
ACCUPRIL 20 MG TABLET,71053223, $4.32 ,6/1/17,EA,N,B,6/7/17,Low
ACCUPRIL 40 MG TABLET,71053523, $4.32 ,6/1/17,EA,N,B,6/7/17,Low
ACEBUTOLOL 200 MG CAPSULE,378120001, $0.19 ,5/17/17,EA,N,G,6/7/17,Low
ACEBUTOLOL 400 MG CAPSULE,378140001, $0.26 ,5/17/17,EA,N,G,6/7/17,Low
ACEPHEN 120 MG SUPPOSITORY,713011812, $0.24 ,5/17/17,EA,Y,G,6/7/17,Low
ACEPHEN 325 MG SUPPOSITORY,713016450, $0.48 ,5/17/17,EA,Y,G,6/7/17,Low
ACEPHEN 650 MG SUPPOSITORY,713016512, $0.31 ,5/17/17,EA,Y,G,6/7/17,Low
ACETA-GESIC 325-12.5 MG TABLET,536100301, $0.02 ,4/19/17,EA,Y,G,6/7/17,Low
ACETAMIN-CAFF-DIHYDROCOD 320.5,42195084010, $2.74 ,8/17/16,EA,N,G,6/7/17,Low
ACETAMINOPHEN 120 MG SUPPOS,45802073200, $0.24 ,5/17/17,EA,Y,G,6/7/17,Low
ACETAMINOPHEN 160 MG/5 ML LIQ,58657052016, $0.01 ,5/17/17,ML,Y,G,6/7/17,Low
ACETAMINOPHEN 325 MG TABLET,63739044001, $0.01 ,5/17/17,EA,Y,G,6/7/17,Low
ACETAMINOPHEN 500 MG CAPLET,51645070501, $0.02 ,5/17/17,EA,Y,G,6/7/17,Low
ACETAMINOPHEN 500 MG SOFTGEL,70000013701, $0.04 ,5/17/17,EA,Y,G,6/7/17,Low
ACETAMINOPHEN 500 MG TABLET,49483034110, $0.02 ,5/17/17,EA,Y,G,6/7/17,Low
ACETAMINOPHEN 650 MG SUPPOS,45802073032, $0.31 ,5/17/17,EA,Y,G,6/7/17,Low
ACETAMINOPHEN ER 650 MG TABLET,68084077795, $0.06 ,5/17/17,EA,Y,G,6/7/17,Low
ACETAMINOPHEN PM CAPLET,51645070905, $0.04 ,5/17/17,EA,Y,G,6/7/17,Low
ACETAMINOPHEN-COD #2 TABLET,13107005801, $0.11 ,5/17/17,EA,N,G,6/7/17,Low
ACETAMINOPHEN-COD #3 TABLET,13107005901, $0.12 ,5/17/17,EA,N,G,6/7/17,Low
ACETAMINOPHEN-COD #4 TABLET,68084037301, $0.22 ,5/17/17,EA,N,G,6/7/17,Low
ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML SOLUTION,121050404, $0.02 ,5/17/17,ML,N,G,6/7/17,Low
ACETAMINOPHEN-DIPHENHYDRAMINE 500 MG-25 MG TABLET,536101506, $0.04 ,5/17/17,EA,Y,G,6/7/17,Low
ACETASOL HC EAR DROPS,472088282, $7.91 ,5/17/17,ML,N,G,6/7/17,High
ACETAZOLAMIDE 125 MG TABLET,51672402201, $1.55 ,5/17/17,EA,N,G,6/7/17,Low
ACETAZOLAMIDE 250 MG TABLET,51672402301, $1.82 ,5/17/17,EA,N,G,6/7/17,Low
ACETAZOLAMIDE ER 500 MG CAP,68382026101, $1.69 ,5/17/17,EA,N,G,6/7/17,Low
ACETIC ACID 2% EAR SOLUTION,60432074115, $1.58 ,5/17/17,ML,N,G,6/7/17,Low
ACETIC ACID-ALUMINUM DROPS,24208061577, $0.89 ,1/18/17,ML,N,G,6/7/17,Low
ACETYLCYSTEINE 10% VIAL,409330703, $0.32 ,8/17/16,ML,N,G,6/7/17,Low
ACETYLCYSTEINE 20% VIAL,517761003, $1.19 ,9/21/16,ML,N,G,6/7/17,Low
ACID CONTROL 150 MG TABLET,24385026871, $0.16 ,5/17/17,EA,Y,G,6/7/17,Low
ACID CONTROLLER 20 MG TABLET,63868048625, $0.17 ,5/17/17,EA,Y,G,6/7/17,Low
ACID GONE ANTACID LIQUID,904772714, $0.01 ,2/22/17,ML,Y,G,6/7/17,Low
ACID GONE TABLET CHEW,904536560, $0.03 ,5/17/17,EA,Y,G,6/7/17,Low
ACID REDUCER 10 MG TABLET,36800014165, $0.11 ,5/17/17,EA,Y,G,6/7/17,Low
ACID REDUCER 20 MG TABLET,24385038551, $0.17 ,5/17/17,EA,Y,G,6/7/17,Low
ACID REDUCER 75 MG TABLET,51660035260, $0.07 ,5/17/17,EA,Y,G,6/7/17,Low
ACID REDUCER COMPLETE TAB CHEW,37205068163, $0.23 ,3/22/17,EA,Y,G,6/7/17,Low
ACIPHEX DR 20 MG TABLET,62856024330, $16.78 ,2/22/17,EA,N,B,6/7/17,High
ACITRETIN 10 MG CAPSULE,66993089430, $17.20 ,1/18/17,EA,N,G,6/7/17,High
ACITRETIN 25 MG CAPSULE,93113656, $16.27 ,5/17/17,EA,N,G,6/7/17,High
ACNE MEDICATION 10% GEL,536105656, $0.07 ,5/17/17,GM,Y,G,6/7/17,Low
ACNE MEDICATION 10% LOTION,536105875, $0.08 ,5/17/17,ML,Y,G,6/7/17,Low
ACNE MEDICATION 5% GEL,536105556, $0.05 ,5/17/17,GM,Y,G,6/7/17,Low
ACNE MEDICATION 5% LOTION,536105775, $0.07 ,5/17/17,ML,Y,G,6/7/17,Low
ACTIVE FE TABLET,28595043330, $3.01 ,11/23/16,EA,N,G,6/7/17,Low
ACTONEL 150 MG TABLET,430047801, $310.03 ,1/1/17,EA,N,B,6/7/17,High
ACTONEL 35 MG TABLET,430047203, $70.78 ,2/22/17,EA,N,B,6/7/17,High
ACTONEL 5 MG TABLET,430047115, $10.16 ,1/1/17,EA,N,B,6/7/17,High
ACTOPLUS MET 15 MG-500 MG TAB,64764015560, $9.53 ,1/4/17,EA,N,B,6/7/17,High
"ACTOPLUS MET XR 15-1,000 MG TB",64764051030, $10.38 ,1/4/17,EA,N,B,6/7/17,High
"ACTOPLUS MET XR 30-1,000 MG TB",64764031030, $20.48 ,1/4/17,EA,N,B,6/7/17,High
ACTOS 15 MG TABLET,64764015104, $12.48 ,1/4/17,EA,N,B,6/7/17,High
ACTOS 30 MG TABLET,64764030114, $19.02 ,1/4/17,EA,N,B,6/7/17,High
ACTOS 45 MG TABLET,64764045125, $20.93 ,1/4/17,EA,N,B,6/7/17,High
ACULAR 0.5% EYE DROPS,23218105, $48.13 ,1/1/17,ML,N,B,6/7/17,High
ACULAR LS 0.4% OPHTH SOL,23927705, $49.55 ,1/1/17,ML,N,B,6/7/17,High
ACUVAIL 0.45% OPHTH SOLUTION,23350730, $8.97 ,1/1/17,EA,N,B,6/7/17,High
ACYCLOVIR 200 MG CAPSULE,60505004206, $0.12 ,5/17/17,EA,N,G,6/7/17,Low
ACYCLOVIR 200 MG/5 ML SUSP,472008216, $0.57 ,5/17/17,ML,N,G,6/7/17,Low
ACYCLOVIR 400 MG TABLET,68382079105, $0.10 ,5/17/17,EA,N,G,6/7/17,Low
ACYCLOVIR 5% OINTMENT,51079055068, $21.77 ,12/21/16,GM,N,G,6/7/17,High
ACYCLOVIR 800 MG TABLET,68382079205, $0.19 ,5/17/17,EA,N,G,6/7/17,Low
ACZONE 5% GEL,23367060, $8.70 ,2/22/17,GM,N,B,6/7/17,High
ACZONE 7.5% GEL PUMP,23520660, $8.63 ,2/22/17,GM,N,B,6/7/17,High
